project_code,date,contact_name,total,has_attachments,rd_category,bank_account
ACT-IN,2026-01-27,Qantas,431.73,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-27,NAB Fee,5.03,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-27,NAB Fee,2.51,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-27,Webflow,38.23,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-27,Mighty Networks,71.72,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-27,Webflow,46.69,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-27,NAB Fee,1.34,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-27,HighLevel,143.68,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-27,Railway Corporation,7.32,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-26,Apple Pty Ltd,29.99,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-25,Canva,17.99,true,core,NM Personal 
ACT-IN,2026-01-23,NAB Fee,0.41,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-23,Railway Corporation,5,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-23,Dept of Transport & Main Roads,78.18,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-23,NAB Fee,3.18,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-23,NAB Fee,1.66,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-23,NAB Fee,4.44,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-22,Webflow,46.87,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-22,Landingfolio,59,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-22,Qantas,541.73,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-22,Fat Thaiger,5.58,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-21,Supabase,85,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-21,Supabase,85,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-21,NAB Fee,1.08,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-21,Supabase,126.22,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-20,NAB Fee,0.52,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-19,NAB Fee,1.08,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-19,Uber,41.2,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-19,Uber,13.04,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-19,NAB Fee,1.19,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-19,NAB Fee,2.43,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-19,Updoc,39.95,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-19,NAB Fee,1.05,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-19,Uber,59.21,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-17,Vercel,20,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-17,Vercel,20,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-17,Vercel,20,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-16,Webflow,68.93,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-15,Telstra,80,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-15,NAB Fee,2.42,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-14,NAB Fee,0.26,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-14,Webflow,68.98,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-14,NAB Fee,1.52,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-14,NAB Fee,1.1,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-13,Uber,48.31,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-13,Uber,54.97,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-12,Obsidian,5,true,core,NAB Visa ACT #8815
