name,abn,tier,supply_nation,entity_type,sector,state,remoteness,seifa_decile,latest_revenue,donates_to_party,party_donations
"Aboriginal Medical Service Co Op Ltd","44263743151","self_identified","false","charity","Health","NSW","Major Cities of Australia","4","12490769","false",""
"ELEANOR DUNCAN ABORIGINAL SERVICES LIMITED","20919038891","self_identified","true","charity","","NSW","Inner Regional Australia","4","12393572","false",""
"Access Services For Koories Ltd.","44141403634","self_identified","false","charity","Health","VIC","Major Cities of Australia","1","12062962","false",""
"TASSK Pty Ltd","49631358104","acnc_indigenous","true","social_enterprise","Disability support services","ACT","Major Cities of Australia","6","12028891","false",""
"Aboriginal Health And Medical Research Council Of New South Wales","66085654397","self_identified","false","charity","Health","NSW","Major Cities of Australia","7","11845006","false",""
"Booroongen Djugun Aboriginal Corporation","79638718552","oric","false","indigenous_corp","Indigenous","NSW","Outer Regional Australia","1","11740749","false",""
"Nirrumbuk Aboriginal Corporation","72899384821","oric","false","indigenous_corp","Health","WA","Very Remote Australia","3","11734953","false",""
"South Australian Native Title Services Ltd","66131591841","self_identified","false","charity","Indigenous","","Major Cities of Australia","4","11711996","false",""
"WURRBA PTY LTD","35645927171","acnc_indigenous","true","social_enterprise","Civil construction","NT","Outer Regional Australia","5","11674595","false",""
"IAS Logistics Pty Limited","61073727492","acnc_indigenous","true","social_enterprise","","ACT","Major Cities of Australia","7","11628390","false",""
"Aboriginal & Torres Strait Islander Independent Community School","38793064020","self_identified","false","charity","Education","QLD","Major Cities of Australia","3","11498710","false",""
"Aboriginal Legal Rights Movement","32942723464","self_identified","false","foundation","indigenous","SA","Major Cities of Australia","4","11422993","false",""
"Victorian Aboriginal Community Services Association Limited","27596610528","self_identified","false","charity","Community","VIC","Major Cities of Australia","9","11288827","false",""
"Northern Territory Indigenous Business Network","60611726421","self_identified","false","charity","Social Welfare","NT","Outer Regional Australia","9","11000000","false",""
"POWER BACK PTY LTD","47655199732","acnc_indigenous","true","social_enterprise","","ACT","Major Cities of Australia","7","10927498","false",""
"BULADU MADA PTY LTD","88670538486","acnc_indigenous","true","company","","NT","Outer Regional Australia","5","10926076","false",""
"Noonkanbah Aboriginal Corporation","15417312454","oric","false","indigenous_corp","Education","WA","Very Remote Australia","1","10368158","false",""
"Central Queensland Indigenous Development Limited","60110812489","self_identified","false","charity","Health","QLD","Inner Regional Australia","3","10358141","false",""
"Nguiu Ullintjinni Association Inc","82294304805","oric","false","charity","Community","NT","Very Remote Australia","1","10333991","false",""
"Illawarra Local Aboriginal Land Council","83448059128","self_identified","true","charity","Indigenous","NSW","Inner Regional Australia","6","10319353","false",""
"Murray Valley Aboriginal Co-Operative","52318962889","self_identified","false","charity","","VIC","Outer Regional Australia","1","10286086","false",""
"Aboriginal Health Council Of South Australia Limited","89287854542","self_identified","false","charity","Health","SA","Major Cities of Australia","4","10231527","false",""
"WAIDT SERVICES AUSTRALIA PTY LTD","72616762077","acnc_indigenous","true","company","","ACT","Major Cities of Australia","1","9962991","false",""
"Imparja Television Pty. Ltd.","78009630120","acnc_indigenous","true","charity","","NT","Remote Australia","5","9946421","false",""
"Albury Wodonga Aboriginal Health Service LTD","84286953178","self_identified","false","charity","Health","NSW","Outer Regional Australia","5","9869285","false",""
"Goolburri Aboriginal Health Advancement Company Limited","33139659331","self_identified","false","charity","Health","QLD","Inner Regional Australia","4","9698360","false",""
"The Trustee for Coolamon Advisors Unit Trust","18904562875","acnc_indigenous","true","social_enterprise","Business & strategic planning services","ACT","Major Cities of Australia","10","9554483","false",""
"Aboriginal & Torres Strait Islander Community Health Service Mackay Ltd","81625886573","self_identified","false","charity","Health","QLD","Inner Regional Australia","5","9515884","false",""
"Goolum Goolum Aboriginal Co Op Ltd","28010581385","self_identified","false","charity","","VIC","Outer Regional Australia","3","9480493","false",""
"National Institute For Aboriginal And Torres Strait Islander Health Research Limited","70138780695","self_identified","false","foundation","","VIC","Major Cities of Australia","3","9430102","false",""
"Australian Indigenous Minority Supplier Office Limited","50134720362","self_identified","false","charity","Social Welfare","NSW","Major Cities of Australia","4","9328825","false",""
"Dice (Aust) Pty Ltd","11125543777","acnc_indigenous","true","social_enterprise","Electrical & lighting maintenance supplies & services","ACT","Outer Regional Australia","5","9090018","false",""
"Aboriginal And Torres Strait Islander Healing Foundation Limited","92140312385","self_identified","false","foundation","indigenous","ACT","Major Cities of Australia","10","9041707","false",""
"Central Desert Native Title Services Limited","53124921811","self_identified","false","charity","","WA","Major Cities of Australia","8","9005018","false",""
"The Trustee For Plan B Trustees Aboriginal Peoples Trust","92454719723","self_identified","false","foundation","arts","WA","Major Cities of Australia","","8909243","false",""
"Worimi Local Aboriginal Land Council","51352201603","self_identified","false","charity","","NSW","Inner Regional Australia","7","8822678","false",""
"Virtual Simulation Systems Pty Ltd","40130991525","acnc_indigenous","true","social_enterprise","","ACT","Inner Regional Australia","6","8751263","false",""
"Niara Tech Pty Limited","17636091686","acnc_indigenous","true","company","","ACT","Major Cities of Australia","10","8725881","false",""
"North West Queensland Indigenous Community Social Services Limited","96636036934","self_identified","false","charity","Social Welfare","QLD","Remote Australia","3","8702797","false",""
"WARLITJ PTY LTD","91639133547","acnc_indigenous","true","social_enterprise","Bathroom fixtures & installation","ACT","Major Cities of Australia","2","8587214","false",""
"Namadgi Services","78831938453","acnc_indigenous","true","social_enterprise","","ACT","Major Cities of Australia","8","8516461","false",""
"North East Arnhem Land Aboriginal Corporation","37690427467","oric","true","indigenous_corp","Education","NT","Very Remote Australia","2","8507444","false",""
"Deerubbin Local Aboriginal Land Council","41303129586","self_identified","false","charity","Environment","NSW","Major Cities of Australia","5","8470001","false",""
"Bullinah Aboriginal Health Service Aboriginal Corporation","32309494532","oric","false","indigenous_corp","Health","NSW","Inner Regional Australia","6","8436553","false",""
"Ninti One Limited","28106610833","acnc_indigenous","true","charity","Education","NT","Remote Australia","5","8347619","false",""
"West Arnhem Regional Council","45065336873","acnc_indigenous","true","social_enterprise","","NT","Remote Australia","5","8275174","false",""
"Bidyadanga Aboriginal Community La Grange Inc","91283538282","self_identified","false","charity","Arts & Culture","WA","Very Remote Australia","3","8127111","false",""
"HCCM PTY LTD","47124138567","acnc_indigenous","true","social_enterprise","Carpentry & joinery services","QLD","Outer Regional Australia","4","8097355","false",""
"Midwest Aboriginal Employment And Economic Development (Meedac) Incorporated","88583662563","self_identified","false","charity","Social Welfare","WA","Very Remote Australia","","8018790","false",""
"Indigenous Allied Health Australia","42680384985","self_identified","true","charity","Health","ACT","Major Cities of Australia","10","8016156","false",""
"Titan Consulting Services PTY LTD","90060195735","acnc_indigenous","true","social_enterprise","","ACT","Major Cities of Australia","9","7971907","false",""
"INDIGENOUS DESERT ALLIANCE LIMITED","20632257964","self_identified","false","foundation","indigenous","WA","Major Cities of Australia","8","7944276","false",""
"First Nations Legal & Research Services Ltd","27105885149","self_identified","false","charity","Legal Services","VIC","Major Cities of Australia","4","7669275","false",""
"Kempsey Local Aboriginal Land Council","92091716063","self_identified","false","charity","","NSW","Outer Regional Australia","1","7628152","false",""
"Gladstone Region Aboriginal & Islander Community Controlled Health Service Ltd","69912120016","self_identified","false","charity","Health","QLD","Inner Regional Australia","3","7598165","false",""
"Winanga-Li Aboriginal Child and Family Centre Incorporated","67715294721","self_identified","false","charity","Social Welfare","NSW","Outer Regional Australia","3","7575884","false",""
"Aboriginal Community Elders Services Incorporated","22907664394","self_identified","false","charity","Community","VIC","Major Cities of Australia","9","7487892","false",""
"Enigma Indigenous Peoples Pty Ltd","52623122458","self_identified","true","company","","ACT","Major Cities of Australia","2","7487696","false",""
"Wreck Bay Aboriginal Community Council","62564797956","self_identified","false","charity","Community","","Inner Regional Australia","5","7432848","false",""
"Cherbourg Regional Aboriginal and Islander Community Controlled Health Services Ltd","26601820535","self_identified","false","charity","Health","QLD","Inner Regional Australia","1","7311047","false",""
"Saltbush Social Enterprises Ltd","50612530079","acnc_indigenous","true","charity","Social Welfare","NT","Outer Regional Australia","9","7184541","false",""
"INDIGENOUS PROFESSIONAL SERVICES PTY LTD","32608918252","self_identified","true","company","","ACT","Inner Regional Australia","3","7130650","false",""
"Cape York Employment Pty Ltd","82164983439","acnc_indigenous","true","charity","Social Welfare","QLD","Outer Regional Australia","3","7112670","false",""
"Bidgerdii Aboriginal and Torres Strait Islanders Corporation Community Health Service Central Queensland Region","47739918372","oric","false","indigenous_corp","Health","QLD","Inner Regional Australia","3","7033429","false",""
"The Trustee For Central Australian Aboriginal Charitable Trust","38114166784","self_identified","false","foundation","community","NT","Remote Australia","5","6981691","false",""
"The (Graham) Polly Farmer Foundation Aboriginal Corporation","26062909402","self_identified","false","foundation","education","WA","Major Cities of Australia","8","6971718","false",""
"Central Aboriginal Charitable Trust","46048051186","self_identified","false","foundation","community","NT","Remote Australia","5","6855329","false",""
"Kallinyalla Aboriginal Health Service Ltd","79159053254","self_identified","false","charity","Health","SA","Remote Australia","3","6844019","false",""
"Careertrackers Indigenous Internship Program Limited","67140287627","self_identified","true","charity","Indigenous","NSW","Major Cities of Australia","6","6825138","false",""
"JAYLIRRA Pty Ltd","96625489189","acnc_indigenous","true","social_enterprise","Business & strategic planning services","ACT","Major Cities of Australia","8","6815786","false",""
"NSW Aboriginal Education Consultative Group (AECG) Inc","29271072930","self_identified","false","charity","Education","NSW","Major Cities of Australia","10","6806145","false",""
"Birrigan Gargle Local Aboriginal Land Council","64452851818","self_identified","false","charity","Social Welfare","NSW","Inner Regional Australia","5","6761106","false",""
"Indigenous Literacy Foundation","45146631843","self_identified","false","foundation","indigenous","NSW","Major Cities of Australia","4","6758136","false",""
"Anangu Pitjantjatjara Yankunytjatjara","77261612162","self_identified","false","charity","","SA","Very Remote Australia","1","6690782","false",""
"Galambila Aboriginal Corporation","23584198987","oric","false","indigenous_corp","Health","NSW","Outer Regional Australia","4","6685964","false",""
"The Trustee For Warlpiri Education And Training Trust","37166302079","self_identified","false","foundation","education","NT","Remote Australia","5","6681897","false",""
"Charleville and Western Areas Aboriginal and Torres Strait Islanders Corporation for Health","84826588748","oric","false","indigenous_corp","Health","","Very Remote Australia","3","6545690","false",""
"Point River Networks Pty Ltd","35617432532","acnc_indigenous","true","social_enterprise","Cyber security","ACT","Major Cities of Australia","10","6455815","false",""
"Victorian Aboriginal Education Association Incorporated","26922788278","self_identified","false","charity","Education","VIC","Major Cities of Australia","9","6431904","false",""
